,content
question,"Credit Card Lifestyle Asked by AnonymousAsked on 04 Dec 2018I know that I shouldn't spend recklessly, and should stop buying so much useless things. How do I stop this, if shopping is something that helps me to relieve stress?I've tried everything from sports to massage. But shopping still gives me the greatest release8 answersAnswerBump0"
0,Answers (8)Sort By Most UpvoteMost UpvoteMost Recent
1,"Daniel Lee, Growth Marketing Lead at SeedlyLevel 4. ProdigyAnswered on 04 Dec 2018Haha it happens. Well, much like trying to kick any other habit, don't just stop immediately, take your time and set milestones to achieve, for example, buying a little less things, or only when you really require. For me it was designer toys! And oh boy can you imagine how many kinds of designer toys there are out there(they aren't cheap too!)But take a step at a time, and see if you can cut down on the purchases. Right now, I only buy the ones I really really like. Or better yet, the ones that I know will rise in value on the resale market in future. All the best! 0 comments2"
2,Tiffany SQLevel 3. WonderkidAnswered on 04 Dec 2018Agree that u can't immediately kick off the habit.. but look on the bright side.. at least u r aware of the problem 😄 I had such exp before of spending too much in my poly days.. but what I did was.. I gave my mum all my credit cards/debit cards n learn how to live on budgeted cash.. until I learnt how to stop spending on uncessary things.. Or u can set a weekly target on how much u can spend weekly.. if u overspend this budget.. next week u will get lesser money until u learn how to control to buy what u need n not want which is the key of what u need to learn..0 comments1
3,"HC Tang, Financial Enthusiast, Budgeting at The SocietyLevel 8. WizardAnswered on 04 Dec 2018There are other reason for so.On surface, it seems to be Stress. However, there are other causes and stress could be just one of the reason.
Best to see / consult therapist, to find the actual root cause.  Once you find out the root cause, then you can really work on it to resolve it.Suggest to :Recognise the problems.  - You did! :)  Good Job! :) Be honest and acknowledge the issue. - You have! That's great too ! :) Find expert / seek help  -  Go find one :) With the solutions, keep on it till you're no longer in bondage.  - Gambate :) 0 comments1"
4,"Serene TohLevel 5. GeniusAnswered on 14 May 2019As they say ""prevention is better than cure.""Instead of finding an alternative ""cure"" to relieve your stress.You should consider what is causing your stress, and find ways to prevent it. Because spending recklessly & money issues is the least of your problems if the problem persist.0 comments0"
5,"Good Day Every DayLevel 6. MasterAnswered on 06 Dec 2018Differentiate between your needs and wants. Shop for your needs, not your wants. You may want to seek a counsellor to help you change your spending habits. Just my humble opinion. 0 comments0"
6,"Jeff Yeo,   amateur Social contributor  at School of social sharingLevel 6. MasterAnswered on 06 Dec 2018To Physically prevent this switch to cash only. Spend only what you have in your walletremove temptation for buying things on credit
longer term find other activities that help you manage stress - sports/games/etc talk to a professional about your stress related issues get support from friends and family 0 comments0"
7,Tina Sharon LeeLevel 3. WonderkidAnswered on 06 Dec 2018Meditate or Pray instead! Way cheaper and an overall positive! 😉0 comments0
8,"Yong Kah HweeLevel 6. MasterAnswered on 04 Dec 2018Set milestones, limit your spending. spend on cheaper stuff!0 comments0"
