,content
question,Savings Lifestyle Asked by Kenneth LouAsked on 23 Oct 2018Anybody bought a SecretLab chair before. Is it really worth the money?My back is aching from the IKEA office chairs that  come standard... i sit on it for over 10 hours each day. Yeah. Haha interested to know if people have recommendations or good reviews about this!5 answersAnswerBump1
0,Answers (5)Sort By Most UpvoteMost UpvoteMost Recent
1,"Gabriel Tham, Kenichi Tag Team Member at Tag TeamLevel 8. WizardUpdated on 07 Jun 2019 i bought one and using. It was good at the start but after that the quality no good.The back support pillow straps became loose so the back support pillow keeps slipping down.The leather peels off after 2 years for mine. So now the chair looks damn ugly. And I am not a heavy user, only use at night and weekends. If you ask me if I will buy again. The answer is no. It is good for that few months to a year but after that the chair starts to deteriorate. And it has passed the warranty so cannot repair.2 comments2"
2,Kenneth Lou24 Oct 2018@Gabriel! What series did you get? Throne or Omega? Gabriel Tham24 Oct 2018i got throne
3,"Ng Wei En, Bsc(Information Systems) at Singapore Management University Level 4. ProdigyUpdated on 07 Jun 2019Hey Kenneth! I have a SecretLab Omega chair at home. Its really comfortable and the build quality is solid(The frame and casters(wheels) are super sturdy). You also have the ability to recline and lock the reclining position for a quick power nap. The armrest is also fully adjustable for height and left/right, front/back.  Definitely a worthy investment! 1 comment2"
4,Kenneth Lou24 Oct 2018Haha thanks for sharing! Seriously Thinking hard about this now... lol
5,"Daniel LingLevel 4. ProdigyAnswered on 13 Dec 20183 years still look brand new.
Omega version.There are other common reasons which are available in many chairs but the below are winning factors.Key reasons.Solid feel when seated. I am 1.8 m and 90 kg.Leather feels good but needs air con. Then again, i can no longer stay in non air con so this is negligible.Wheels are sturdy. It's the large PU casters.
This is important.
Larger easier to roll and last longer.
The smaller versions uses the small wheels and different materials which for me broke within 2 years.Wheelbase has rounded edges and is 1 solid piece.
Some chairs is multiple piece joined which may fall apart.
Some chairs have plastic covers which if fall off reveals sharp edges. Got cut before.
Some chairs are plain sharp edges. The designer needs to be shot.0 comments1"
6,Cheryl XWLevel 2. RookieUpdated on 07 Jun 2019OMG Kenneth! The chair is so goooooood that you can fall asleep! HAHAHA. Totally worth it! You won't regret! 1 comment1
7,Kenneth Lou24 Oct 2018Lol hahaha wow... so far 2 great reviews from you guys... quite sold. 😂
8,"Kenneth Lou, Co-founder at SeedlyLevel 8. WizardUpdated on 07 Jun 2019Particularly this one. Haha image attached: LOL. I kee seeing their ads around.Also whether buying second hand is also ok?7 comments0"
9,See all 7 comments Kok Koon24 Oct 2018U can doze off in these. Omega can take my weight. Confirm can take urs. XDDaniel Ling13 Dec 2018Don't buy 2nd hand for stuff close to body. Do check out the new fabric version as well.
