,content
question,"Investments Lifestyle Asked by AnonymousAsked on 10 Apr 2019Would you forsake a date night with your girl/boy friend if you know that you could make $10,000 through trading the US market that night?8 answersAnswerBump0"
0,Answers (8)Sort By Most UpvoteMost UpvoteMost Recent
1,Leonard TanLevel 6. MasterAnswered on 10 Apr 2019I would only say- let me know which night you are cancelling your plans so I can make arrangements on my end as well ;)0 comments5
2,Junus EuTop Contributor (Sep)Level 8. WizardAnswered on 10 Apr 2019I would monitor markets together with that person and make it a trading date night! Think about the dating options with that $10k made in one night ;)0 comments3
3,"Yeo Enk LouiLevel 6. MasterUpdated on 10 Apr 2019I'd tell her that though I can be making 10,000 trading at home... I'd rather spend time with you because its priceless.Kidding! I'll probably do what the rest suggested as well (those are great suggestions)And of course, like what Jimmy mentioned, you shouldn't plan to invest/trade on days/nights that you know that you can't be mentally invested.0 comments2"
4,"HC Tang, Financial Enthusiast, Budgeting at The SocietyLevel 8. WizardAnswered on 10 Apr 2019Of course! :)  I'll ask my date come join me to make 10k also on her end by following, so together we make 20k! Yay! :)  then go honeymoon holiday to Europe with 30% of the profit!0 comments1"
5,"Richard Woon Tian JunLevel 6. MasterUpdated on 10 Apr 2019If one person could make $10 000, i'll be calling my sister, parents,  friends, uncle, auntie, grandparents, godma, the stray cat always below my block and the fella working at 7-11 down the street to join me for the ultimate money making night! EVERYONEEEE!Maybe I'll have to spend half of it for a big apology gift but you know... it's the hustle HAHA0 comments0"
6,Zann ChuaLevel 6. MasterAnswered on 10 Apr 2019I would definetly forsake a date if it means i can make $10000. can always go for another date night after that an atas restaurant with the $10000 earned :)0 comments0
7,"Lim Chun Long JimmyLevel 5. GeniusAnswered on 10 Apr 2019As a Forex trader, I try to arrange dates on days where I won't enter new trades, e.g. US non-farm payroll announcements.0 comments0"
8,"Guo Hao Teo, Self-Taught Enthusiast at Personal FinanceLevel 4. ProdigyAnswered on 10 Apr 2019Yes I would definitely forsake the date night and re-schedule it at a posh restaurant with 10% on the returns on that forex trade. 🤟0 comments0"
