,content
question,"Giveaways Property Condominium HDB BTO Resale HDB Family Asked by Kenneth LouAsked 2d agoDo you view your home as an Investment, somewhere to stay or both? Share your reasons and experiences!?Seedly is a media partner of 99.co Haus it going event which will be happening on 31 Oct at 6 pm. This event which will feature industry experts as they share trend-riding tips, an efficient way to make your money work for you and lock in that profit from the first day you purchase your dream home! More details here: https://seedly.sg/c/99co-haus-it-going29 answersAnswerBump1"
0,Answers (29)Sort By Most UpvoteMost UpvoteMost Recent
1,"Axib XnyLevel 4. ProdigyUpdated 21h agoProperty if not used as an asset, becomes a liability. So if I own a property, I will prefer to generate cashflow and future capital gains if possible.  The economics point of view. Home is where our loved ones are and is meant for staying in and creating memories. It need not be tied to a property, though in Singapore,  it conventionally is. The people maketh a physical home also 'home' in the emotional and mental sense. That said, I see HDB primarily as a home then secondarily as a possible investment asset. I won't want to use it as a base asset to flip property though I might explore to rent out some rooms or conduct lessons in the home or use it as a home studio. I will see other properties (second one,  private properties, freehold,  overseas) and REITs as investment instead. In a nutshell, I will only take risk on what I can afford to lose and not on what I cannot. One additional reason is that HDB, like CPF, is protected from bankruptcy claims. So the safety net is a draw to me as a good stable foundation,  at least for my lifetime.  PS: Stayed in three HDB units owned by my parents. Moved twice, once for downgrade, one for Sers.5 comments9"
2,See all 5 comments Basir Nazeer1d agoThis is so helpful. Thank you for sharing 😀😀😀Eng Soon Teo21h agoThat is precisely what I have in mind. Only risk what you can afford. My first home is definitely not the one.
3,"Elijah Lee, Independent Financial Advisor at Phillip Securities (Jurong East Lite)Top Contributor (Sep)Level 9. God of WisdomAnswered 2d agoBoth. For me, property is only an asset once you can monetize it. If not, you would just stay in it and pass your days doing what you'd like to do in the privacy of your home (I'd just read my books if I had the time)To view it as an asset class, it needs to generate returns. This could be in the form of rental, or profits due to capital appreciation (but only after I sell it, else it's all paper profits)If it's rental, then I'd need to deduct the costs involved. E.g. bills, fees, property tax, mortgage etc. If I'm receiving $2000/mth rental but paying $2000/mth mortgage, it probably doesn't cut it for me.As with REITs, it's about location and timing. I've seen clients unlock tremendous value after an area's valuation skyrocketed, but I have seen some whose housing value stagnated.0 comments7"
4,"Cedric Jamie Soh, Director at Seniorcare.com.sgTop Contributor (Sep)Level 7. Grand MasterUpdated 1d agoMy home is NOT an investment. Period.Even if my home appreciate, and I can sell if for a capital gains, I still must buy a new home to stay in, right? So it is totally not able to provide any investment returns, since if I am staying in the same place, with the same convenience and space, I will probably have to fork out more money (and please, most homes in Singapore depreciate by 99 years to $0)Many people mistakenly think that they are improving their lives, because they sell off their 3bedders home, and then with the extra cash, upgrade to a more expensive home with THE SAME LENGTH OF PROPERTY LOAN.They are just increasing their loans and liabilities. There are some people who may downgrade their homes to a smaller size, or less convenient places for lower value, and getting the cash values out to live.That is not really an investment, ain't it? Its more like downgrading your lifestyle.You have worked 30, 40, 50 years of your life, why must you reduce your home space or reduce the convenience? You should be staying a better place or a more convenient place with your great returns from investments. You worked hard, you deserve it. =) A home is not an investment, if you want investment, go for 2nd property, go for stocks ETF, go for index funds.Only a 2nd property can be considered an investment, since only a 2nd property can be sold without the need to buy a new one.And of course, a 3rd, a 4th, 5th etc would be great ;)1 comment2"
5,"Wong Jackson11h agoMy home is an asset to me. I bought a dual key unit, the studio is rented out and covered my mortgage interest."
6,"Toh You XinLevel 2. RookieAnswered 2d agoAs an investment:To rent out any extra room(s) to generate income.As a home:A location that is easily accessible by public transport, has amenities for lifestyle needs and able to meet family needs.0 comments2"
7,"Alvin TeoLevel 4. ProdigyAnswered 2d agoIt depends on how you use it. There is some gains from property especially if you purchase a BTO and eventually sold it. How much gains are those and whether there is remnants for cash (after accrued interest) still depends on how you finance the flat in the first place. Not to mention if you’re only out to make money for it, your spouse may not share same sentiments as you. For me, home is where the heart is. Eventually it’s the place my boy will mark his height year after year.I will not give that up just to make a few dollars, I said a few dollars because during my stay I incur utilities, tax, and many other intangibles. My answer is: it’s more than a place to stay, it’s a house I decide to call home0 comments2"
8,Wong JacksonLevel 2. RookieAnswered 11h agoIt's definitely an asset to me. My home is a dual key unit. I rented out the studio to cover my mortgage interest. I planned to sell it for capital gain after 10 years....And I can choose to downgrade to hdb if I want to retire early with the profit from my private pty1 comment1
9,Gavin Kua8h agoHi Jackson! We tried reaching out to you via email but unfortunately the mail was bounced. Please reach us at support@seedly.sg! :)
10,"V WLevel 2. RookieAnswered 2d agoHas to be both.My apartment is where my family stays. If one day I wish to move to a new place, hopefully, the value of this property would increase and help me to upgrade to a better one.0 comments1"
11,Jan SinLevel 2. RookieAnswered 2d agoIt is both a home as well as investment for me. This is because I can stay there and the value of the house will appreciate over time (depending on the economic situation) .0 comments1
12,"SashaLevel 2. RookieAnswered 2d agoBeing able to only buy resale HDBs, due to my PR status and current purchasing power, my primary view of my home is somewhere to stay.  While I hope it can also be a form of investment, the evolution of policies around HDB makes it seem to me that the future is uncertain.0 comments1"
