,content
question,"Investments Savings Lifestyle Asked by Gabriel ThamAsked on 06 Jun 2019What are you willing to sacrifice or give up to improve your financial situation?I see many people want to improve their finances but find it hard to commit, change lifestyle or sacrifice19 answersAnswerBump5"
0,Answers (19)Sort By Most UpvoteMost UpvoteMost Recent
1,Vivien Lee FengLevel 4. ProdigyAnswered on 15 Jun 2019sacrifice grab ($20) and go for public transport ($2) sacrifice atas coffee like starbucks (easily $5) nd go for kopitiam coffee ($1)sacrifice movie ($12/ movie) and go for netflix ($7/ mth if shared between 2 person)0 comments6
2,"Germaine ChongLevel 4. ProdigyUpdated on 15 Jun 20191) sacrifice spending on material things. spend more on experiences instead.2) spend time & energy on the people that matter most to u (family, close frens). life is short. the rest (eg social interaction) can wait. 3) nv sacrifice health n too much slp. staying healthy is e most impt for all e sacrifice to b worthwhile! 🙂2 comments4"
3,Jerry Micro Jie14 Jun 2019I totally agreeVivien Lee Feng15 Jun 2019I totally agree
4,"Cedric Jamie SohTop Contributor (Sep)Level 7. Grand MasterAnswered on 13 Jun 2019My beloved government.they have done well, lead by LKY. But currently they seems to have lost track. Why must Singapore govt keep telling us that our GST is Low and other countries are expensive? And then keep hinting us GST has to go up soon.our country is not poor, we can use more golden eggs prudently without killing the golden goose.GST hurts the poor more than most of us upper class. Why our system can have gst free for gold and silver bullion but not for rice / noodles / basic necessities?for my better financial life, I am willing to give up the current government I love so much.0 comments3"
5,"Heng Kai LeLevel 4. ProdigyUpdated on 13 Jun 2019Travel.just kidding. No travel, no life.personally, I don’t mind giving up my_ me _time to earn some spare cash. I’m not so particular about whether these side gigs  would boost my competencies to the extent that I could get better-paying jobs in future, but these gigs must offer me another dimension of satisfaction other than my main job. For instance, I worked as a travel promoter at NATAS Fair before and earned a non-lucrative, albeit decent, sum of $60 for four hours of work.1 comment3"
6,"Kenneth Lou13 Jun 2019Haha same > just kidding. No travel, no life."
7,"EEugeneLevel 2. RookieAnswered on 07 Jun 2019It really depends on individuals. Like that you mentioned, there are people who live payday to payday just to afford their car instalments. But for me I would say that if there is a cheaper alternative to what you're using or paying for now, by all means downgrade so that you can plan better for your future.0 comments3"
8,"JTJessica TanLevel 2. RookieAnswered on 13 Jun 2019I found it hard to give up on alot of things so i started small. I gave up Grabbing and taxis and also the ""need"" to go out every friday/saturday night. Easily saved additional 300-400 a mth from that 😅😅I use the extended travel time now to have ""1 hour disciplined me time"" by reading or catch a netflix show, and use time that im at home to read up on finance articles or books0 comments2"
