,content
question,"HDB BTO Property Asked by AnonymousAsked on 10 Oct 2018What do you think of the upcoming BTO launch (Sembawang, Sengkang, Tengah, Yishun) in Nov 2018?Did not manage to get the BTO in Aug 2018. What do you think of the new BTO?6 answersAnswerBumped2"
0,Answers (6)Sort By Most UpvoteMost UpvoteMost Recent
1,"Lim Tian ShangLevel 3. WonderkidUpdated on 07 Jun 2019Get Tengah! I love the car lite, live within nature concept😀😀2 comments3"
2,Question Poster11 Oct 2018You mean the project promotes car lite and nature concept? Will check it out!Lim Tian Shang11 Oct 2018Yes yeah!😊😊
3,Yong Kah HweeLevel 6. MasterUpdated on 07 Jun 2019Tengah looks good but bear in mind that the Jurong Region Line Stage 1 will only start operating in 2026. JE MRT station is also very crowded during peak hours. How do people deal with the morning crowd at JE anyway!1 comment2
4,Tee-Ming Chew14 Nov 2018Woah valid point... JE MRT will be crowded during peak hours...
5,Billy OngLevel 3. WonderkidUpdated on 07 Jun 2019I'm actually planning to apply for tengah! Hopefully I get it. Love the concept of it.4 comments2
6,"See all 4 comments Billy Ong01 Nov 2018But one of my many reasons is that both my partner and I are currently staying in the west. It will be ideal for us to apply for somewhere in the west. Next, being a new town, we would expect the price to be more than reasonable. Sure, amenities may not be there. But we are near to Jurong East and Bukit batok so that shouldn't be an issue Question Poster01 Nov 2018Thank you for getting back! :)"
7,Nicholas ChanLevel 5. GeniusUpdated on 07 Jun 2019No more biddadari launches? 1 comment1
8,Kenneth Lou11 Oct 2018Haha bro already long time no more :( I was also planning to get there. But when I applied in the last batch (Feb 2018 iirc) it was 4 couples fighting for 1 unit. LOL.
9,"Kenneth Lou, Co-founder at SeedlyLevel 8. WizardAnswered on 11 Oct 2018As someone who tried 7 times (in mature estate) before getting on my 8th try, I highly recommend to 'Mai Tu Liao' if you see something you really like, and 80% confident that it's a liveable neighbourhood, I would say just try. It's only $10 to get a ballot chance and fill up some forms which will take you guys maybe 1hour? :) Go for it!0 comments0"
10,Xinyi LumLevel 5. GeniusAnswered on 11 Oct 2018Sounds like a fantastic idea! Hope it translates well into the real thing0 comments0
