,content
question,"AMA SG Young Investment Savings Family General Asked by AnonymousAsked on 11 Sep 2018What do you feel is a meaningful 'spend' of your money?I'm early in my career and planning a family. Interested to know the thoughts and concepts here by a prudent community and maybe even those who are beyond their early phase, and if they could turn back the clock what would be a good use of your money.15 answersAnswerBump0"
0,Answers (15)Sort By Most UpvoteMost UpvoteMost Recent
1,"Junus EuTop Contributor (Sep)Level 8. WizardAnswered on 09 Jun 2019The money I spend which contributes to heartfelt smiles from my loved ones - that is a meaningful spend of money, in my opinion :) I still stand by that belief, even looking back.0 comments3"
2,"Kenichi Xi, nᴉʍ oʇ dǝnᴉʇsǝd 不能说的秘密 at Tag Team with Gabriel ThamLevel 6. MasterAnswered on 24 Sep 2018I am a meaningful person and might just give u some good answer.With ur context, you should focus on
1. Ppty tt can house u and ur future family
The ppty should be just big enough instead of the biggest even if you can afford it.Planning forward a 5rm is more expensive then a 4rm flat and ur children will usually move out as they start their own family.Cash is King and spend on what u need rather then herd instincts. With more cash after the MOP, you can buy pte ppty if absd is acceptable for u and the cash u saved from purchase can be the deciding factor.Shopback allows you to get cash back so use it to ur advantage like
A) honey koon
B) furniture
C) Electric EquipmentsUse the Savings wisely with income generating investment.When you have money and good habits, you will also start to spend money wisely and meaningfully with ur close ones.If u dun have money, and try to spend, it will nv be meaningful.Hope my reply helps.If you feel this reply have Quality, please upvote and check other Quality Reply.https://seedly.sg/profile/a-kenichi-xiThank you.0 comments1"
3,"Nicholas ChanLevel 5. GeniusAnswered on 18 Sep 2018Meaningful spend for me is investing in assets that would give me long term returns. Also spending on love ones, but not lavishly. 0 comments0"
4,"Yong Kah HweeLevel 6. MasterAnswered on 17 Sep 2018Travelling! Of course, don't spend extravagently. Also, food! You need food to survive, so why not go get those good food! Again, nothing too extravagent because it'd just be a waste otherwise!0 comments0"
5,"Jonathan Chia Guangrong, Fund Manager at JCG FundLevel 6. MasterAnswered on 17 Sep 2018Self improvement, either through books or attending coursesBuy experiences you can't otherwise get in Singapore, like travellingTithing to church0 comments0"
6,"Ck ChaiLevel 4. ProdigyAnswered on 17 Sep 2018Spending on travelling and knowledge / education to widen one's perspective & horizon Spending on your loved ones... but not just in terms of monetary or materialistic aspect, but also in terms of spending time to care Spending on enjoyment (eg. food / concerts / hobbies/sports) as an occasional self pampering / de-stressing0 comments0"
7,"Jeff Yeo,   amateur Social contributor  at School of social sharingLevel 6. MasterAnswered on 17 Sep 2018Getting experience - holidays, limited edition shows, unique placesspending it on loved ones education and certifications Food ! 🤭0 comments0"
8,"HC Tang, Financial Enthusiast, Budgeting at The SocietyLevel 8. WizardAnswered on 16 Sep 2018Meaningful spend of $ is to:Spend on growing knowledge, so may enrish self to grow and better self more and be able to guide / help others and get more income to do #2. Spend on growing financial knowledge and investment, so may get more $ to bde able to gain more wisdom and financial, to be able to do something bigger of collective ideas/ knowledge/ talent and skill such as a company to do more, to help, to build a new tech advances to better the life of others.Finally, with all the $, could start foundations for educating the needly / not so well do to, donate to medical advances. ​The above would be my thoughts of meaninful spend of $ :) What's yours ? 0 comments0"
9,"Leong Wen FongLevel 6. MasterAnswered on 16 Sep 2018Either things that upgrades yourself, be it in skills, knowledge, or even confidence​Or on your loved ones to make them happy or show that you believe in them​or to give generously to others, so that you can change the lives of others. That’s where your legacy will lie0 comments0"
10,Good Day Every DayLevel 6. MasterAnswered on 16 Sep 2018Spend it on your loved ones. 0 comments0
11,Gabriel LeeLevel 6. MasterAnswered on 16 Sep 2018Spend on needs over wants and pamper yourself and your loved ones occasionally as well as a family trip overseas once a year :)0 comments0
12,"Jay Liu, Diploma in Accountancy  at KHEALevel 6. MasterAnswered on 16 Sep 2018Spending it on knowledge, travelling. Maybe at times a upgrade of a computer, phone after not changing it for years. Giving gifts to your parents/ siblings on occasions e.g. Birthdays. 0 comments0"
13,Isabella JoLevel 4. ProdigyAnswered on 16 Sep 2018Money to buy convenience eg grab to save time so I can be home earlier and play with my little girl. 0 comments0
14,Teresa WuLevel 3. WonderkidAnswered on 16 Sep 2018Courses on self improvement! Widens your perspective on things.0 comments0
15,"Soh Sing Heng, Financial Blogger at SG Young InvestmentLevel 4. ProdigyAnswered on 11 Sep 2018Money spent on my loved ones especially those that can create memories such as travelling together. 0 comments0"
